Unique_Key,Created_Date,Agency,Agency_Name,Complaint_Type,Status,Community_Board,District,Park_Facility_Name,Park_Borough,School_Name,School_Phone_Number,School_Address,School_City,School_State,School_Zip,stop_date
26593698,10/31/2013 02:01:04 AM,NYPD,New York City Police Department,Illegal Parking,Open,05 QUEENS,QUEENS,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,2013-10-31 02:01:04
26591037,10/30/2013 11:20:57 PM,NYPD,New York City Police Department,Illegal Parking,Closed,10 QUEENS,QUEENS,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,2013-10-30 23:20:57
26592954,10/30/2013 11:20:26 PM,NYPD,New York City Police Department,Illegal Parking,Closed,08 QUEENS,QUEENS,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,2013-10-30 23:20:26
26592551,10/30/2013 11:01:49 PM,NYPD,New York City Police Department,Illegal Parking,Assigned,05 QUEENS,QUEENS,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,2013-10-30 23:01:49
26591575,10/30/2013 10:33:28 PM,NYPD,New York City Police Department,Illegal Parking,Closed,14 QUEENS,QUEENS,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,2013-10-30 22:33:28
26594762,10/30/2013 10:31:22 PM,NYPD,New York City Police Department,Illegal Parking,Closed,07 QUEENS,QUEENS,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,2013-10-30 22:31:22
26592844,10/30/2013 09:46:18 PM,NYPD,New York City Police Department,Illegal Parking,Closed,05 QUEENS,QUEENS,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,2013-10-30 21:46:18
26592833,10/30/2013 09:27:13 PM,NYPD,New York City Police Department,Illegal Parking,Closed,12 QUEENS,QUEENS,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,2013-10-30 21:27:13
26594635,10/30/2013 09:22:34 PM,NYPD,New York City Police Department,Illegal Parking,Closed,11 QUEENS,QUEENS,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,2013-10-30 21:22:34
26592819,10/30/2013 09:10:54 PM,NYPD,New York City Police Department,Illegal Parking,Closed,12 QUEENS,QUEENS,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,2013-10-30 21:10:54
